City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Pietarsaari,FI,2020-05-10 04:00:19,63.65,22.68,37.99,74,100,11.41
182,Sambava,MG,2020-05-10 03:59:24,-14.27,50.17,76.19,82,93,14.7
183,Kohlu,PK,2020-05-10 04:09:07,29.9,69.25,88.61,15,0,9.91
184,Makakilo City,US,2020-05-10 04:08:06,21.35,-158.09,80.6,61,40,13.87
185,Saldanha,ZA,2020-05-10 04:08:35,-33.01,17.94,53.6,81,0,2.24
186,Ust-Kuyga,RU,2020-05-10 04:00:51,70.02,135.6,32.85,95,100,7.61
187,Shelburne,CA,2020-05-10 04:00:20,44.08,-80.2,32.0,95,75,5.82
188,Sobrance,SK,2020-05-10 04:09:07,48.74,22.18,46.99,67,97,2.04
189,San Luis,AR,2020-05-10 04:09:07,-33.3,-66.34,61.48,39,26,17.27
190,Avera,US,2020-05-10 04:00:22,33.19,-82.53,51.8,81,1,1.16
191,Cherskiy,RU,2020-05-10 04:09:08,68.75,161.3,43.74,60,100,13.15
192,Huilong,CN,2020-05-10 04:09:08,31.81,121.66,72.0,64,52,4.9
193,Pemba,MZ,2020-05-10 04:00:46,-12.97,40.52,72.77,84,12,14.61
194,Cabo San Lucas,MX,2020-05-10 04:06:35,22.89,-109.91,73.4,78,5,12.88
195,Zhangye,CN,2020-05-10 04:09:08,38.93,100.45,53.37,37,54,16.53
196,Moranbah,AU,2020-05-10 04:09:08,-22.0,148.05,83.26,32,1,11.86
197,Vila Franca Do Campo,PT,2020-05-10 03:59:09,37.72,-25.43,60.8,93,75,24.16
198,Batagay-Alyta,RU,2020-05-10 04:09:09,67.8,130.41,25.88,95,100,2.86
199,Sakaiminato,JP,2020-05-10 03:59:26,35.55,133.23,66.2,82,75,23.04
200,Rio Grande,BR,2020-05-10 04:05:16,-32.03,-52.1,59.47,74,0,8.41
201,Alta Floresta,BR,2020-05-10 03:59:19,-9.88,-56.09,72.19,95,76,2.93
202,Hay River,CA,2020-05-10 04:09:09,60.82,-115.8,30.2,80,20,9.17
203,Vestmanna,FO,2020-05-10 03:59:58,62.16,-7.17,32.0,91,84,8.05
204,Batemans Bay,AU,2020-05-10 04:09:09,-35.72,150.18,63.0,29,0,1.99
205,Gummidipundi,IN,2020-05-10 04:09:09,13.4,80.15,89.01,74,40,5.82
206,Hambantota,LK,2020-05-10 04:09:10,6.12,81.12,87.8,84,20,3.36
207,Pandharpur,IN,2020-05-10 04:08:06,17.67,75.33,95.49,22,2,11.23
208,Olafsvik,IS,2020-05-10 03:59:17,64.89,-23.71,38.07,73,0,11.43
209,Kawalu,ID,2020-05-10 04:09:10,-7.38,108.21,89.76,53,78,2.48
210,Port Hedland,AU,2020-05-10 04:08:58,-20.32,118.57,89.6,31,87,18.34
211,Cody,US,2020-05-10 04:09:10,44.53,-109.06,48.99,48,90,6.93
212,Comodoro Rivadavia,AR,2020-05-10 04:06:21,-45.87,-67.5,55.4,62,100,10.29
213,Vila Velha,BR,2020-05-10 04:00:25,-20.33,-40.29,64.0,93,40,1.12
214,General Pico,AR,2020-05-10 03:59:52,-35.66,-63.76,52.48,76,0,6.31
215,Luis Correia,BR,2020-05-10 04:09:11,-2.88,-41.67,76.71,87,100,4.63
216,Constitucion,CL,2020-05-10 04:09:11,-35.33,-72.42,55.36,86,25,4.12
217,Valdivia,CL,2020-05-10 04:06:41,-39.81,-73.25,55.4,76,75,5.82
218,Dingle,PH,2020-05-10 03:59:32,11.0,122.67,94.89,45,91,8.32
219,Borogontsy,RU,2020-05-10 04:09:11,62.67,131.17,42.73,58,98,3.91
220,Fare,PF,2020-05-10 04:00:43,-16.7,-151.02,82.58,80,85,16.44
221,Pucallpa,PE,2020-05-10 04:00:04,-8.38,-74.55,73.4,88,20,1.21
222,Berlevag,NO,2020-05-10 04:00:01,70.86,29.09,30.09,92,82,8.12
223,Summerville,US,2020-05-10 04:08:18,33.02,-80.18,59.0,87,20,2.51
224,Pontes E Lacerda,BR,2020-05-10 04:09:12,-15.23,-59.34,67.55,95,47,2.93
225,Baoqing,CN,2020-05-10 04:09:12,46.33,132.21,57.31,73,97,11.88
226,Lazaro Cardenas,MX,2020-05-10 03:59:34,17.96,-102.2,77.18,85,1,2.39
227,Alice Springs,AU,2020-05-10 03:55:11,-23.7,133.88,64.4,25,0,16.11
228,Rawson,AR,2020-05-10 03:59:19,-43.3,-65.1,63.09,38,74,20.76
229,Najran,SA,2020-05-10 04:09:12,17.49,44.13,73.4,53,4,6.93
230,Bilma,NE,2020-05-10 03:59:28,18.69,12.92,80.47,15,0,8.25
231,Kepno,PL,2020-05-10 04:09:13,51.28,17.99,55.0,100,95,5.7
232,Odweyne,SO,2020-05-10 04:09:13,9.41,45.06,74.57,63,77,4.14
233,Sobolevo,RU,2020-05-10 03:59:49,54.43,31.9,48.63,79,96,5.06
234,Emden,DE,2020-05-10 04:09:13,53.37,7.22,50.0,90,83,1.01
235,Olinda,BR,2020-05-10 04:07:00,-8.01,-34.86,78.8,78,40,4.7
236,Nova Olimpia,BR,2020-05-10 04:09:13,-14.8,-57.29,67.87,93,0,2.21
237,Masterton,NZ,2020-05-10 04:09:13,-40.96,175.66,62.01,68,0,1.99
238,Byron Bay,AU,2020-05-10 04:09:13,-28.65,153.62,75.99,57,35,11.41
239,Sciacca,IT,2020-05-10 04:09:14,37.51,13.09,62.01,51,99,1.01
240,Srednekolymsk,RU,2020-05-10 03:59:19,67.45,153.68,39.42,79,100,16.71
241,Ghatanji,IN,2020-05-10 04:09:14,20.13,78.32,103.41,21,45,10.65
242,Myingyan,MM,2020-05-10 04:09:14,21.47,95.38,98.6,35,20,5.82
243,Hun,LY,2020-05-10 04:00:26,29.13,15.95,71.47,20,39,11.07
244,Nanortalik,GL,2020-05-10 04:09:14,60.14,-45.24,39.45,71,12,18.84
245,Cuamba,MZ,2020-05-10 04:09:15,-14.8,36.54,59.49,96,15,4.23
246,Tambura,SS,2020-05-10 04:09:15,5.6,27.47,71.02,77,99,3.69
247,Eseka,CM,2020-05-10 04:09:15,3.65,10.77,72.41,95,99,2.33
248,Rudarpur,IN,2020-05-10 04:09:15,26.44,83.61,99.09,14,1,10.54
249,Santa Cruz Del Sur,CU,2020-05-10 04:09:15,20.71,-78.0,81.95,78,100,5.28
250,Pimentel,PE,2020-05-10 04:09:15,-6.84,-79.93,67.84,88,1,12.75
251,Kavieng,PG,2020-05-10 04:09:15,-2.57,150.8,85.46,78,86,13.94
252,Sompeta,IN,2020-05-10 04:09:16,18.93,84.6,92.61,51,0,13.69
253,Faya,SA,2020-05-10 04:09:16,18.39,42.45,64.4,72,69,3.09
254,Clyde River,CA,2020-05-10 03:59:16,70.47,-68.59,1.4,84,1,14.99
255,Mountain Home,US,2020-05-10 04:09:16,43.13,-115.69,68.0,20,1,3.36
256,Tocopilla,CL,2020-05-10 04:09:16,-22.09,-70.2,62.82,65,37,2.06
257,Kautokeino,NO,2020-05-10 04:09:17,69.01,23.04,15.94,86,11,5.01
258,Araouane,ML,2020-05-10 04:09:17,18.9,-3.53,83.14,14,0,2.73
259,Bethel,US,2020-05-10 04:08:38,41.37,-73.41,34.0,69,1,8.05
260,Cabedelo,BR,2020-05-10 04:09:17,-6.98,-34.83,73.4,94,29,4.7
261,Rangoon,MM,2020-05-10 04:07:05,16.81,96.16,91.4,59,20,3.36
262,Marica,BR,2020-05-10 04:09:17,-22.92,-42.82,64.4,82,6,3.36
263,Hithadhoo,MV,2020-05-10 04:06:47,-0.6,73.08,84.92,74,93,10.54
264,Lata,PT,2020-05-10 04:09:17,40.16,-8.33,53.01,100,40,4.7
265,Christchurch,NZ,2020-05-10 04:05:13,-43.53,172.63,59.0,72,2,9.17
266,Ostrovnoy,RU,2020-05-10 04:00:23,68.05,39.51,34.29,96,100,8.12
267,Pringsewu,ID,2020-05-10 04:08:50,-5.36,104.97,85.71,76,95,1.28
268,Wodonga,AU,2020-05-10 04:09:18,-36.12,146.88,53.6,58,15,11.41
269,Noumea,NC,2020-05-10 03:59:36,-22.28,166.46,79.0,69,75,5.82
270,Cam Ranh,VN,2020-05-10 04:00:29,11.92,109.16,95.0,59,20,11.41
271,Shirokiy,RU,2020-05-10 04:09:18,49.76,129.52,68.27,37,0,9.53
272,Innisfail,AU,2020-05-10 04:09:19,-17.53,146.03,72.0,65,13,5.01
273,Molchanovo,RU,2020-05-10 04:09:19,57.58,83.77,77.13,35,55,2.82
274,Nuuk,GL,2020-05-10 03:59:35,64.18,-51.72,41.0,75,79,14.99
275,Mao,ES,2020-05-10 04:00:20,39.89,4.27,64.4,88,66,12.75
276,Gat,IL,2020-05-10 04:00:01,31.61,34.76,62.01,79,5,5.46
277,Tarakan,ID,2020-05-10 04:09:19,3.3,117.63,83.53,76,97,1.21
278,Yerbogachen,RU,2020-05-10 03:59:26,61.28,108.01,48.13,55,76,25.86
279,San Carlos Del Zulia,VE,2020-05-10 04:09:19,9.0,-71.91,79.57,76,56,3.76
280,Lavrentiya,RU,2020-05-10 04:07:11,65.58,-171.0,36.07,89,100,10.25
281,Padang,ID,2020-05-10 04:09:20,-0.95,100.35,87.33,61,57,4.32
282,Namibe,AO,2020-05-10 04:09:20,-15.2,12.15,78.64,49,85,2.24
283,Broken Hill,AU,2020-05-10 04:08:12,-31.95,141.43,57.2,47,40,11.41
284,Gotsu,JP,2020-05-10 04:09:20,35.0,132.22,66.2,82,75,16.11
285,Pevek,RU,2020-05-10 04:09:20,69.7,170.31,35.31,83,100,14.41
286,Mangai,CD,2020-05-10 04:00:29,-4.05,19.53,70.74,99,100,3.33
287,Lakes Entrance,AU,2020-05-10 04:00:56,-37.88,147.98,57.99,55,7,4.0
288,Belmonte,BR,2020-05-10 04:00:49,-15.86,-38.88,68.0,88,75,6.93
289,Lyuban,BY,2020-05-10 04:09:21,52.8,28.0,47.88,87,100,5.28
290,Bengkulu,ID,2020-05-10 04:07:22,-3.8,102.27,85.77,64,48,4.25
291,Porto Novo,BJ,2020-05-10 04:07:43,6.5,2.6,84.2,83,40,8.05
292,Adrar,MR,2020-05-10 04:09:21,20.5,-10.07,83.84,14,37,12.77
293,Aswan,EG,2020-05-10 03:57:14,24.09,32.91,69.31,34,0,8.75
294,East London,ZA,2020-05-10 04:06:42,-33.02,27.91,55.4,82,0,3.36
295,Imbituba,BR,2020-05-10 04:04:35,-28.24,-48.67,68.0,82,40,10.29
296,San Rafael,AR,2020-05-10 04:09:22,-34.62,-68.33,59.13,44,0,3.33
297,Mudgal,IN,2020-05-10 04:09:22,16.02,76.43,94.91,26,10,10.69
298,Port Blair,IN,2020-05-10 03:59:27,11.67,92.75,86.27,73,56,8.72
299,Port Lincoln,AU,2020-05-10 03:59:33,-34.73,135.87,61.66,53,2,9.57
300,Holalkere,IN,2020-05-10 04:09:22,14.03,76.18,88.32,46,0,1.57
301,Mapiripan,CO,2020-05-10 04:08:00,2.89,-72.13,73.06,94,67,3.31
302,Aklavik,CA,2020-05-10 04:09:23,68.22,-135.01,44.6,52,40,8.05
303,Male,MV,2020-05-10 04:04:51,4.17,73.51,87.8,79,20,9.17
304,Muzhi,RU,2020-05-10 04:09:23,65.37,64.67,43.86,87,94,8.46
305,Totma,RU,2020-05-10 04:09:23,59.97,42.76,47.5,81,83,5.79
